id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
110-S,dom,2023-06-23,202306,,743,0.558498,48,2888.0,10612-R,0.532573,40,2565.0,5132-R,0.517218,65,62.0,103-R
111-S,avtomoto,2023-06-23,202306,['Gregor Pavšič'],215,0.321563,74,2824.0,144-R,0.314651,60,2266.0,20999-R,0.305632,57,2169.0,10600-R
112-S,svet,2023-06-23,202306,"['A. P. K.', 'St. M.', 'STA']",2298,0.792016,59,1313.0,5116-R,0.756732,72,5697.0,5172-R,0.748166,56,4275.0,5155-R
113-S,avtomoto,2023-06-23,202306,['Gregor Pavšič'],102,0.212606,55,5311.0,10641-R,0.205923,39,2859.0,21006-R,0.205382,32,5402.0,10642-R
114-S,sportal,2023-06-23,202306,['Špela Lenart'],917,0.600037,56,2791.0,21006-R,0.578799,53,5627.0,10647-R,0.576654,53,5491.0,10645-R
115-S,sportal,2023-06-23,202306,['J. L.'],491,0.356043,25,2729.0,21006-R,0.356037,61,5181.0,10641-R,0.351505,66,1113.0,16906-R
116-S,sportal,2023-06-23,202306,['Sportal'],919,0.601114,51,1879.0,10598-R,0.588846,38,5429.0,10645-R,0.580833,26,2729.0,21006-R
117-S,avtomoto,2023-03-25,202303,['Gregor Pavšič'],361,0.371375,60,3397.0,1397-R,0.364712,66,5300.0,6485-R,0.360732,68,671.0,6423-R
118-S,slovenija,2023-03-25,202303,['Rebeka Krašovec'],1734,0.76443,55,3868.0,17945-R,0.760587,59,2436.0,17934-R,0.759681,56,3688.0,12143-R
119-S,kolumne,2023-03-25,202303,['Nina Gaspari'],1063,0.662283,36,262.0,17913-R,0.613923,75,2435.0,21843-R,0.611754,39,2340.0,1386-R
120-S,slovenija,2023-03-25,202303,['Nataša Repovž\u200b\u200b\u200b\u200b\u200b\u200b\u200b'],2871,0.703931,62,3687.0,12143-R,0.701147,59,3867.0,17945-R,0.652922,71,967.0,1367-R
121-S,sportal,2023-03-25,202303,"['R. P.', 'S. K.']",786,0.530713,61,3683.0,12143-R,0.512545,61,3863.0,17945-R,0.511186,50,2310.0,12129-R
122-S,sportal,2023-03-25,202303,['Sportal'],532,0.678254,52,3613.0,12143-R,0.672142,52,3793.0,17945-R,0.617062,40,2265.0,1386-R
123-S,sportal,2023-03-25,202303,['STA/Katja Kodba'],154,0.381134,43,1203.0,12116-R,0.36208,63,4143.0,12145-R,0.361595,61,1367.0,12118-R
124-S,sportal,2023-03-25,202303,"['Sportal', 'STA/Katja Kodba']",411,0.514541,63,2263.0,1386-R,0.502337,76,3483.0,1402-R,0.499247,55,1203.0,12116-R
